id,flag,tid
account.16373fa7e1c144edaced3e3d20f5e4c7,0,21
account.ce3501cda3af48e1aa1543b265307408,0,15
account.2f3f23f43fb4429a852c57b8131db638,0,4
account.bdd1510da5a8432da178e6bc4e4c0a5f,0,9
account.7a653b4d0b0243838a3b384edea985da,1,15
account.5034e30ae7e546c188c076f2561293aa,0,21
account.fe0167c73047446dae8c71a2498fb295,0,8
account.1a1f9a67320a4abe920c0f9730d69c1c,0,11
account.c840e7687b604ef890255f6d455884ef,0,8
account.91668c9927a74797ad76d78818f57433,0,4
account.9bd7469f58284c2285245bf85451b214,0,5
account.a79c3822c7824ff1b396cb2ca5e81d91,0,6
account.b4ae8be978c441c2995646d0c2dec168,0,25
account.66194937b6c34bf69ff4c4dfbfba9df3,1,18
account.3208487891b541d58e1819ca22c35413,0,15
account.bd2c2d367ab643cdbe079bccd289dac9,0,3
account.242ac4f7ac7944709594c46dd34139a0,0,9
account.8d3ac1aee22342e18b3a5743ebec2037,0,3
account.0fdfe593d99f4396b7c0dada038a68e1,0,3
account.a07130bb70ac4583975ec49b4a47d9d8,0,20
account.97337689605f42be8a2db36be59bcb02,0,18
account.d6cffcdcec67453381a9bfda3e93986f,0,25
account.052414cff5444c26b4e4e14b7af95b40,0,25
account.2f74ed87e4d54b25bf7fabb6abaa147c,0,12
account.e322cd38797f43cf9cd97aa1fc98a7ee,0,27
account.0f55c017b7174ec7b021da9a550da679,0,12
account.909dee6f4ffe418dbccf7844f87e5465,0,12
account.e6341031f50e4226853c99408a12768c,0,21
account.cde4d069bed94003acf3b9df240c055e,1,27
account.dbf2acda4a9d46eeba4333e74128025d,0,24
account.79e951da38174122a01b37d9e7981588,0,1
account.43e574c76d4d46568c52f0b334c9ccb3,0,1
account.a492f08f4c7c4d3ebfe7b1708f04d73e,0,21
account.5244f1dbb42044be841513aba30cabd4,0,2
account.85812751624d48258bbfabd2ee6c42f7,0,2
account.6050ba4a989e4497bb596cd1545fb33e,0,2
account.fb7d3cfc84bc495397401f58cd75a9d2,0,5
account.d6ed12eb92824fc1852d76f2ab6c6036,0,17
account.b1424f2d9df644d799d837112602989d,0,19
account.a7230ce441f14ab988fc2f85dfdb0d95,0,19
account.63220a11bddf4ce0b78fc9628eb0109d,0,5
account.b2a6e7a8511142f1878202093afbc6ed,0,17
account.31f088c76d234542a016eecd12ac9020,0,17
account.a3be978669304440940bb56c59099da9,0,10
account.aa7600c7a3904226b64a5b9ac35acb34,0,10
account.503531aeb08448a298e7506bf0ad116d,0,17
account.4b8db0a655c5420591f74be68965b21e,0,10
account.20fce27f2ede4bffbb8d98c247d34a4e,0,10
account.d8d8f00ebfb947508c96bf9d507f6fe6,0,19
account.aa8763e06cfe48088f5ecead374f43a8,0,15
account.5d6011a66b9b476e829332f9ea68c105,0,18
account.d03d37d3956645708d126a800ff591de,0,9
account.29367373506a4733aae3840c28a04dc0,0,6
account.724a5e33db9e45da9f75dfdbe701d4d5,0,6
account.68d1c35af740472abfc6dc2172139171,0,8
account.134aff760d694f99a67477961c60beda,0,14
account.d53ef7ce6c6c46de91c2e04e0c70f9f3,0,14
account.8c3c567b5ced47f9a7914bbcf3c9cf5b,0,8
account.bc8ca6ee2ff74f44a74da36ac7a74273,0,26
account.e21cb8696bb64683aa5c56ad812639e6,0,26
account.e28ab8fee3764825baeaa78e51dbc62c,0,5
account.9a995053ce374e90a04dec11a8d88bf7,0,26
account.86c397606e2a4761a9e1cd8fab2846fb,0,26
account.c930d78ca3284e53a4b7385e351426fc,0,27
account.b45347fe4be64f2f852ba0f7905b578e,0,14
account.7b68be0dea0f400b80aa7c5166136cc0,0,16
account.1dd82676106448a4882f8506271282db,0,16
account.084d48c7a3824983908792fe7c19a627,0,16
account.4f75d85f96094286bc1a1ff7bc2457d0,0,11
account.f286c65834f043b8812c430e117c239b,0,4
account.8ea6d9e71619493c8bd76be8f654f43d,0,22
account.2d3747c6fc7e40e68543c5b525d722d0,0,22
account.ee981750b0be495f9e2ff44a4d2a3a81,0,3
account.1a24d8e67cf64c1b983e712b34270e92,0,7
account.779aad0a652841daa628735bfc67b09d,0,20
account.a806c9ca9ad844cc8d69ca6bc0154c88,0,7
account.96dd9a634a8a4d5c89e3ca9d3d924098,0,7
account.06bd8b8acc2a441cb18b1894b0dc87d3,0,7
account.98d6fdbf0bcb458498d1f380843a243e,0,20
account.d4d026ef459a4eebb0323fc8c44c7b3c,0,13
account.a9425256214049fcb06d725e6b42d09d,0,13
account.74d5de0af4354182a4e5df5a6900af8e,0,20
account.b6991efc04fe414ca35106d769cc41aa,0,13
account.f34e6fb6eb404012b09a6d26373a4536,0,24
account.893df9cf7ad240ff9ce607f12eaa64de,0,24
account.4666c1493ebc432498db6a3b482382d0,0,11
account.ff4fafbd7ec64d2f9abd41af70b6e0d4,0,11
account.e2240225e64d4729b9b6dd561b1e68e2,0,24
account.a5091d7cdaa147c487c7ffb59701a722,0,13
account.5ac8044b3a944065b378c9c7a1fda26c,0,1
account.223fd9c2d0ef46ac83acceb3299e5f7d,0,12
